LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,LFPR,25_64,PC_AGE,A,1974,68.1762387751147,
DEU,LFPR,25_64,PC_AGE,A,1975,68.2422356221228,
DEU,LFPR,25_64,PC_AGE,A,1976,68.4059763679568,
DEU,LFPR,25_64,PC_AGE,A,1977,68.6305836322139,
DEU,LFPR,25_64,PC_AGE,A,1978,68.9612423332898,
DEU,LFPR,25_64,PC_AGE,A,1979,69.4556582888397,
DEU,LFPR,25_64,PC_AGE,A,1980,70.0096930533118,
DEU,LFPR,25_64,PC_AGE,A,1981,70.2668157852692,
DEU,LFPR,25_64,PC_AGE,A,1982,70.0791873047922,
DEU,LFPR,25_64,PC_AGE,A,1983,69.439246506986,
DEU,LFPR,25_64,PC_AGE,A,1984,68.0173451799221,
DEU,LFPR,25_64,PC_AGE,A,1985,68.4312056670754,
DEU,LFPR,25_64,PC_AGE,A,1986,68.8513741395193,
DEU,LFPR,25_64,PC_AGE,A,1987,68.789883247191,
DEU,LFPR,25_64,PC_AGE,A,1988,69.0542310899,
DEU,LFPR,25_64,PC_AGE,A,1989,69.1712484702031,
DEU,LFPR,25_64,PC_AGE,A,1990,69.542044894996,
DEU,LFPR,25_64,PC_AGE,A,1991,73.3439567979107,
DEU,LFPR,25_64,PC_AGE,A,1992,73.518265544441,
DEU,LFPR,25_64,PC_AGE,A,1993,73.6277630030082,
DEU,LFPR,25_64,PC_AGE,A,1994,73.4817769876201,
DEU,LFPR,25_64,PC_AGE,A,1995,73.7187088984239,
DEU,LFPR,25_64,PC_AGE,A,1996,74.1984732824428,
DEU,LFPR,25_64,PC_AGE,A,1997,74.682105714592,
DEU,LFPR,25_64,PC_AGE,A,1998,75.2433846549728,
DEU,LFPR,25_64,PC_AGE,A,1999,74.9023753532826,
DEU,LFPR,25_64,PC_AGE,A,2000,74.908539885269,
DEU,LFPR,25_64,PC_AGE,A,2001,75.385951579633,
DEU,LFPR,25_64,PC_AGE,A,2002,75.7989572653302,
DEU,LFPR,25_64,PC_AGE,A,2003,76.0224714188909,
DEU,LFPR,25_64,PC_AGE,A,2004,77.619437498617,
DEU,LFPR,25_64,PC_AGE,A,2005,78.9674443360241,
DEU,LFPR,25_64,PC_AGE,A,2006,80.1895608063009,
DEU,LFPR,25_64,PC_AGE,A,2007,80.7242127878612,
DEU,LFPR,25_64,PC_AGE,A,2008,80.8894957136782,
DEU,LFPR,25_64,PC_AGE,A,2009,81.4139417894359,
DEU,LFPR,25_64,PC_AGE,A,2010,81.7332105062125,
DEU,LFPR,25_64,PC_AGE,A,2011,82.2674218624596,
DEU,LFPR,25_64,PC_AGE,A,2012,82.449976043259,
DEU,LFPR,25_64,PC_AGE,A,2013,82.8131388851029,
DEU,LFPR,25_64,PC_AGE,A,2014,83.0568238325573,
DEU,LFPR,25_64,PC_AGE,A,2015,83.052099891216,
